                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4519,                 1.4933,                 1.4623,                 1.3387,                 3.2648,                 1.3918,                0.01467,                0.65713,                0.19752,                0.09796,                  1.723,                 3.1291,                 1.8066,                 1.5395,                  6.243,                 1.6178,             0.00054844,             0.00054844,             0.00054844
                     24,                 1.5008,                 1.4657,                 1.4703,                 1.3832,                 3.0975,                 1.4271,                0.82594,                0.10199,                0.23564,                0.09749,                 1.8946,                 3.0557,                 1.8646,                 1.6667,                 6.3073,                 1.7622,             0.00055255,             0.00055255,             0.00055255
                     25,                 1.3482,                 1.3131,                 1.3827,                 1.3013,                 2.7319,                 1.3243,                0.63368,                0.09725,                0.16729,                0.07548,                  1.971,                 2.9899,                 1.9853,                 1.8424,                 6.2521,                 1.8602,             0.00055496,             0.00055496,             0.00055496
                     26,                 1.3946,                 1.3044,                 1.3558,                  1.342,                 2.7406,                 1.3188,                0.54928,                0.26384,                0.22836,                0.10555,                  1.867,                 2.8984,                 1.9594,                 1.7817,                 6.1715,                 1.8942,             0.00055567,             0.00055567,             0.00055567
                     27,                 1.3955,                 1.4945,                 1.4234,                 1.3395,                 3.0418,                 1.3822,                0.00956,                0.67654,                0.21508,                0.10157,                 1.9931,                 3.1795,                 1.8698,                 1.9111,                 6.4507,                 1.8161,             0.00055468,             0.00055468,             0.00055468
                     28,                 1.4051,                 1.4411,                 1.3974,                 1.3477,                 2.8862,                 1.3482,                0.00902,                0.52864,                0.16152,                0.07569,                 2.1107,                 3.3373,                 1.9367,                 1.9743,                 6.5916,                 1.8948,               0.000552,               0.000552,               0.000552
                     29,                 1.3715,                 1.3312,                 1.3746,                 1.3286,                 2.6339,                 1.3302,                0.81737,                0.05132,                0.26446,                0.10063,                 1.9849,                 3.0055,                 1.8869,                 1.7885,                 6.1069,                  1.727,             0.00054762,             0.00054762,             0.00054762
                     30,                 1.4068,                 1.3877,                 1.3992,                 1.3579,                 2.7792,                 1.3447,                0.82452,                0.15494,                0.43853,                 0.2038,                 1.5996,                 2.4478,                 1.6084,                 1.4654,                 5.4151,                  1.497,             0.00054154,             0.00054154,             0.00054154
                     31,                 1.3848,                 1.3345,                 1.3886,                 1.3241,                 2.6751,                 1.3471,                0.76095,                0.14624,                0.37456,                0.16797,                 1.7901,                 2.4728,                 1.7357,                 1.5989,                 5.4653,                 1.6749,             0.00053376,             0.00053376,             0.00053376
                     32,                 1.3962,                  1.351,                 1.3684,                 1.3479,                 2.6339,                 1.3118,                0.83288,                0.22974,                0.51841,                0.27922,                 1.5054,                  2.214,                 1.4933,                 1.4957,                 5.1428,                 1.4483,             0.00052429,             0.00052429,             0.00052429
                     33,                 1.3776,                 1.2985,                 1.3658,                 1.3735,                 2.5968,                 1.3455,                0.82873,                0.24432,                0.52645,                0.26344,                 1.5977,                 2.3116,                 1.6015,                 1.4506,                 5.0873,                 1.4624,             0.00051311,             0.00051311,             0.00051311
                     34,                 1.4182,                 1.3058,                 1.4119,                 1.3839,                 2.5195,                  1.392,                0.79307,                0.27218,                0.55601,                0.32898,                 1.4507,                 2.0592,                 1.5037,                 1.3244,                 4.7744,                 1.3716,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.2578,                 1.2871,                 1.3535,                 1.2453,                 2.5418,                  1.326,                0.77064,                0.33543,                0.56993,                0.32348,                 1.5583,                 2.0115,                 1.6791,                 1.3912,                  4.689,                 1.5079,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2838,                 1.1505,                 1.3116,                 1.2508,                 2.2701,                 1.2518,                0.75531,                0.40032,                0.58592,                0.32617,                 1.4347,                 1.8046,                 1.4951,                 1.3265,                 4.3962,                 1.3802,               0.000467,               0.000467,               0.000467
                     37,                 1.3238,                 1.1576,                 1.3385,                 1.3377,                 2.3039,                 1.3063,                0.74446,                0.53743,                0.65201,                0.39005,                  1.307,                 1.6051,                 1.3716,                 1.2146,                 4.0564,                 1.3148,              0.0004387,              0.0004387,              0.0004387
